x,Curve1
1.16859,0.0268
1.21834,0.4534
1.28251,0.8042
1.40091,1.4255
1.52493,1.958
1.64895,2.4015
1.77297,2.8895
1.90261,3.2885
2.02661,3.6432
2.03789,3.7764
2.16753,4.131
2.21263,4.3529
2.34227,4.752
2.46629,5.2399
2.58467,5.6835
2.69829,6.1156
2.78974,6.4544
2.88344,6.8369
3.00183,7.3693
3.12586,7.9462
3.24426,8.5231
3.36266,9.1
3.46979,9.7214
3.58257,10.3872
3.69534,11.053
3.79685,11.7189
3.904,12.4292
4.00551,13.1395
4.10703,13.8943
4.20292,14.6491
4.29881,15.4039
4.41724,16.203
4.50751,17.0912
