x,Curve1
1.23587,-0.1136
1.34972,0.3766
1.46357,0.8668
1.57742,1.3161
1.69644,1.7245
1.81546,2.1737
1.93448,2.5003
2.05351,2.9086
2.17253,3.2761
2.29155,3.6844
2.41058,4.0519
2.5296,4.4193
2.64862,4.8277
2.76247,5.277
2.88149,5.7263
2.99534,6.2165
3.10919,6.6658
3.21786,7.1969
3.32653,7.769
3.43003,8.3411
3.53353,8.9541
3.63185,9.5672
3.73018,10.2621
3.81815,10.957
3.90612,11.7338
3.98892,12.5106
4.07172,13.2874
4.14934,14.1051
4.23214,14.8819
4.29942,15.7407
4.36152,16.6403
4.41844,17.54
4.47019,18.4807
4.49994,19.3294
4.50641,20.1681
