x,Curve1
12.9,11.2078
14.6,7.2002
15.7,8.27
19.6,6.3381
60.9,5.6331
149.1,4.6676
356.5,3.8633
698.1,3.4616
1054.8,3.2208
1426.7,3.2214
1798.5,3.222
2170.3,3.1824
2527.2,3.1025
2899,3.0629
3270.8,3.0233
3642.6,2.9837
3999.5,2.9038
4371.2,2.8239
4728.1,2.7843
5099.9,2.7447
5471.7,2.7051
5843.6,2.7057
6215.4,2.6661
6572.3,2.6264
6944.1,2.5868
7315.9,2.5874
7687.7,2.5478
8059.5,2.5484
8431.4,2.549
8803.2,2.5094
9175,2.51
9531.9,2.4704
9903.8,2.471
